direction,scaling_factor,turning_point_buffer
285,0.001,2
285,0.002,2
285,0.003,2
285,0.004,2
285,0.005,2
285,0.006,2
285,0.007,2
285,0.008,2
285,0.009,2
285,0.01,2
315,0.001,3
315,0.002,3
315,0.003,3
315,0.004,3
315,0.005,3
315,0.006,3
315,0.007,3
315,0.008,3
315,0.009,3
315,0.01,3
345,0.001,6
345,0.002,6
345,0.003,5
345,0.004,5
345,0.005,5
345,0.006,5
345,0.007,5
345,0.008,5
345,0.009,5
345,0.01,5
