id,distance_0,direction,mean_lst,distance
227,16,285,40.2416461,12
228,17,285,39.80647886,13
229,18,285,40.30741395,14
230,19,285,39.44984964,15
231,20,285,39.92917645,16
232,21,285,40.72618032,17
233,22,285,40.92574248,18
234,23,285,40.94690838,19
235,24,285,41.05875406,20
236,25,285,40.73219553,21
237,26,285,40.72534194,22
238,27,285,40.95435884,23
239,28,285,41.25374112,24
240,29,285,41.04577566,25
241,30,285,41.20602539,26
242,31,285,41.52438609,27
243,32,285,41.44656862,28
244,33,285,41.69336825,29
245,34,285,41.75704907,30
246,35,285,41.67095295,31
250,5,315,39.4228586,1
251,6,315,39.28576386,2
252,7,315,39.2876692,3
253,8,315,39.87947495,4
254,9,315,39.50569777,5
255,10,315,39.7026293,6
256,11,315,40.04845766,7
257,12,315,39.95206938,8
258,13,315,39.98555275,9
259,14,315,39.55249782,10
260,15,315,39.21623657,11
261,16,315,39.56493444,12
262,17,315,39.49310532,13
263,18,315,39.44634228,14
264,19,315,39.51947701,15
265,20,315,39.46461049,16
266,21,315,39.80864522,17
267,22,315,39.45863325,18
268,23,315,39.29719328,19
269,24,315,39.65690856,20
270,25,315,39.799062,21
271,26,315,39.70653592,22
272,27,315,39.66344079,23
273,28,315,39.60822259,24
274,29,315,39.95452677,25
275,30,315,40.18017031,26
276,31,315,40.09750266,27
277,32,315,39.97005806,28
278,33,315,40.4113641,29
279,34,315,40.39098353,30
280,35,315,40.5647264,31
285,5,345,39.55112826,1
286,6,345,39.98889176,2
287,7,345,39.35094223,3
288,8,345,39.01091165,4
289,9,345,39.22363853,5
290,10,345,39.72815897,6
291,11,345,39.99343366,7
292,12,345,39.67837413,8
293,13,345,39.65538449,9
294,14,345,39.3960049,10
295,15,345,39.28010268,11
296,16,345,39.50438077,12
297,17,345,39.34668032,13
298,18,345,39.40740971,14
299,19,345,39.1767521,15
300,20,345,38.7261626,16
301,21,345,38.57348808,17
302,22,345,38.89288167,18
303,23,345,38.79298258,19
304,24,345,38.67419718,20
305,25,345,38.76012663,21
306,26,345,38.28033955,22
307,27,345,37.9585896,23
308,28,345,37.93612548,24
309,29,345,37.76368513,25
310,30,345,37.97171862,26
311,31,345,38.09042475,27
312,32,345,38.18023551,28
313,33,345,38.383913,29
314,34,345,38.8292082,30
315,35,345,39.06068748,31
321,5,45,39.29299665,1
322,6,45,38.26806068,2
323,7,45,38.72567212,3
324,8,45,39.00149492,4
325,9,45,39.02626687,5
326,10,45,39.19617471,6
327,11,45,39.22233824,7
328,12,45,39.29606615,8
329,13,45,39.10957883,9
330,14,45,38.4222743,10
331,15,45,38.23821487,11
332,16,45,38.77508078,12
333,17,45,39.10469605,13
334,18,45,39.34960079,14
335,19,45,38.86399216,15
336,20,45,37.91035732,16
337,21,45,38.10370538,17
338,22,45,38.4421277,18
339,23,45,38.44003258,19
340,24,45,37.79361445,20
341,25,45,37.41884726,21
342,26,45,37.53169014,22
343,27,45,37.64526335,23
344,28,45,37.77730479,24
345,29,45,37.24900686,25
346,30,45,37.81250709,26
347,31,45,37.51077485,27
348,32,15,38.21022382,28
349,33,45,37.7838635,29
350,34,45,37.64218371,30
351,35,45,37.10760053,31
1000,5,15,38.4954,0
1001,5,75,38.4954,0
1002,5,255,38.4954,0
1003,5,285,38.4954,0
1004,5,315,38.4954,0
1005,5,345,38.4954,0
1006,5,45,38.4954,0
