id,distance_0,direction,mean_lst,distance
5,5,15,39.93042762,1
6,6,15,39.89474691,2
7,7,15,39.23323153,3
8,8,15,38.95374501,4
9,9,15,39.20753544,5
10,10,15,39.118099,6
11,11,15,39.14574742,7
12,12,15,39.47617815,8
13,13,15,39.3548714,9
14,14,15,39.28546583,10
15,15,15,39.62361044,11
16,16,15,39.57568422,12
17,17,15,39.74629786,13
18,18,15,39.49636436,14
19,19,15,39.44131667,15
20,20,15,39.0453196,16
21,21,15,39.1432436,17
22,22,15,38.91186005,18
23,23,15,38.9902211,19
24,24,15,38.8953076,20
25,25,15,38.34826535,21
26,26,15,38.69246328,22
27,27,15,39.13163221,23
28,28,15,38.7617823,24
29,29,15,37.94575644,25
30,30,15,37.70066674,26
31,31,15,38.22097568,27
32,32,45,37.15519143,28
33,33,15,38.43845394,29
34,34,15,38.22877153,30
35,35,15,36.64768034,31
114,5,75,37.97385847,1
116,6,75,36.57097996,2
118,7,75,37.56525256,3
120,8,75,38.22119163,4
122,9,75,37.27950132,5
124,10,75,37.07579565,6
126,11,75,37.86626862,7
128,12,75,37.58584119,8
130,13,75,38.15820428,9
131,14,75,39.05446518,10
134,15,75,38.80025188,11
136,16,75,38.8514194,12
138,17,75,38.2685392,13
140,18,75,38.34109179,14
142,19,75,38.27351477,15
144,20,75,38.13331349,16
145,21,75,37.77650583,17
148,22,75,36.16523296,18
150,23,75,35.46749029,19
152,24,75,35.38503241,20
154,25,75,35.77799258,21
156,26,75,35.69711677,22
158,27,75,34.81939744,23
160,28,75,35.10653534,24
162,29,75,37.52493776,25
164,30,75,38.18126843,26
181,5,255,39.08785802,1
182,6,255,39.41037997,2
183,7,255,39.2824594,3
184,8,255,39.51087284,4
185,9,255,40.47238846,5
186,10,255,40.40447429,6
187,11,255,39.46273915,7
188,12,255,39.97954594,8
189,13,255,40.44924004,9
190,14,255,40.34613199,10
191,15,255,40.02577615,11
192,16,255,39.31759154,12
193,17,255,39.16506242,13
194,18,255,38.75680546,14
195,19,255,39.14001255,15
196,20,255,39.51986311,16
197,21,255,41.03928779,17
198,22,255,41.30338804,18
199,23,255,40.84842758,19
200,24,255,40.84185883,20
201,25,255,40.4244538,21
202,26,255,40.28107663,22
203,27,255,40.2617155,23
204,28,255,39.67884384,24
205,29,255,39.03639471,25
206,30,255,40.22746963,26
207,31,255,40.37172449,27
208,32,255,40.2820518,28
209,33,255,39.88335392,29
210,34,255,39.73071628,30
211,35,255,39.25859624,31
216,5,285,39.89279347,1
217,6,285,39.93275936,2
218,7,285,40.36023691,3
219,8,285,40.36031869,4
220,9,285,41.4780418,5
221,10,285,40.82744857,6
222,11,285,40.61270369,7
223,12,285,40.67940676,8
224,13,285,40.77588624,9
225,14,285,40.44872929,10
226,15,285,40.24142137,11
