buffer_id,lst_mean
1,40.43314223
2,40.64052338
3,40.7051702
4,40.69982377
5,40.78497143
6,40.84820945
7,41.24444209
8,40.71711291
9,40.34518728
10,40.83772442
11,41.37482462
12,41.65759552
13,41.66243814
14,41.31339278
15,41.77871539
16,42.58629155
17,43.47403734
18,41.24876083
19,40.07305637
20,38.90544869
21,39.24252179
22,38.70183699
23,39.17938706
24,39.41223499
25,39.6669755
26,39.91932766
27,40.19902909
28,40.48976037
29,40.60919228
30,40.27879839
31,39.8776194
32,39.94405278
33,40.21740881
34,39.93205207
35,40.23652768
36,40.11933389
37,40.27303814
38,40.60882607
39,40.62967363
40,40.21009002
41,39.75925553
42,39.38886655
43,39.07741596
44,38.86601459
45,38.9916918
46,39.39226658
47,38.99036926
48,38.73025444
49,37.60159869
50,39.33967453
51,39.39278688
52,37.83456744
53,37.77737442
54,37.82882701
55,37.81275963
56,37.86203782
57,38.04567982
58,37.83893878
59,37.80584971
60,38.14286194
61,37.68094998
62,37.11704159
63,37.09897678
64,38.08251718
65,38.76052409
66,39.38569344
67,39.14023361
68,39.46920964
69,38.76506965
70,39.39653775
71,41.17833086
72,38.19403047
