buffer_id,lst_mean
1,16.2452
2,15.4657
3,15.5092
4,15.7256
5,15.5961
6,15.6098
7,15.692
8,15.8415
9,15.6679
10,15.616
11,15.6286
12,15.7003
13,15.8513
14,16.2113
15,16.3583
16,16.3603
17,15.4921
18,15.7439
19,16.3691
20,14.958
21,15.0651
22,14.7576
23,14.9972
24,15.0364
25,14.9527
26,14.9611
27,14.8213
28,14.7008
29,14.6246
30,14.8926
31,14.9341
32,14.5946
33,14.5387
34,14.6936
35,14.862
36,15.1265
37,14.9496
38,14.641
39,14.7639
40,14.6092
41,14.7559
42,14.8462
43,14.4679
44,13.7207
45,13.4808
46,14.1222
47,14.1308
48,13.0458
49,12.1235
50,15.493
51,15.9834
52,14.5678
53,14.5372
54,14.5998
55,14.7106
56,14.4504
57,14.442
58,14.4862
59,14.4916
60,14.3739
61,14.2615
62,14.3864
63,14.1018
64,14.7705
65,14.6706
66,14.575
67,14.1752
68,13.9019
69,13.7675
70,14.2655
71,15.4268
72,14.8519
